card_id,name,tier,listing_count,price_median,price_p25,price_p75,price_min,price_max,iqr_pct,outlier_count,buy_it_now_count,auction_count
149a2f7a-5bd6-48c3-a8e5-b36b2764e51a,Charizard,H,200,399.99,53.75,999.96,2.22,100000.0,236.6,97,200,11
045be0c1-44cb-49c7-b585-d81ef64213a9,Blastoise,H,200,145.12,78.98,350.11,0.99,7599.0,186.8,79,200,4
0d691a92-7b21-414c-adea-09e6c1c5f90d,Mewtwo,H,200,51.47,30.0,105.19,1.98,8217.3,146.1,52,200,4
a380c4b0-3707-4b34-a1c8-82ffa4d81442,Ninetales,H,200,24.99,16.25,49.99,0.99,1900.0,135.0,52,200,6
f37a97f7-1911-4d54-98b9-8ded43351713,Pikachu,H,200,15.0,5.99,108.95,1.5,3499.0,686.4,93,200,10
503ce3e5-af3c-4068-935f-d66d0be6fc59,Venusaur,H,200,99.5,59.0,249.99,0.99,5500.0,191.9,76,200,4
44bc8c21-f28a-4055-9fce-ad8e88083b70,Charmander,H,200,5.43,3.0,14.7,0.99,1500.0,215.5,59,200,10
90d989c4-5276-43c3-bc22-c1af7ae44c8c,Gyarados,H,200,29.11,17.95,53.48,1.89,2190.42,122.1,46,200,8
68849b64-c25c-4946-b06c-d4142366739b,Dragonite,H,200,85.0,25.0,160.62,7.99,12999.0,159.6,85,200,2
7a263d18-222d-4cce-bc7b-810c1d7e50f8,Aurorus,H,200,2.17,1.74,6.99,0.72,65.0,241.9,54,200,6
9a284113-4b85-4f8a-bdcc-405bcbb72130,Mega Sharpedo ex,M,200,3.02,2.0,6.0,0.99,249.95,132.5,32,200,6
8a01e711-7fa6-4c76-84c7-1c4c9f4863f5,Salazzle ex,M,200,2.49,1.99,2.99,0.99,19.99,40.2,13,200,5
a0587873-4b3f-411c-adf8-d1b3e18f909a,Arcanine,M,200,4.25,2.99,7.96,0.99,699.99,116.9,42,200,7
10ace5fd-0e4e-46ef-99de-699906ac0b53,Nidoking,M,200,34.97,21.72,65.67,1.25,5476.05,125.7,30,200,2
1ac819bb-a1a1-4461-bae4-2adf7353adcb,Pinsir,M,200,13.64,7.29,27.01,2.02,500.0,144.6,44,200,5
63b6eb70-e7d1-4b11-a43a-f9474eb8ab33,Haunter,M,200,3.51,2.0,6.81,0.73,677.0,137.0,39,200,2
6d3e354b-bf69-45c2-a548-7545a733af2f,Pinsir,M,200,13.64,7.29,27.01,2.02,500.0,144.6,44,200,5
8e03a695-a8e8-4252-81f5-ac3717b31ba7,Magneton,M,200,19.99,10.0,34.99,0.72,2190.42,125.0,62,200,2
97400721-54c4-4382-92ef-9c44786eef42,Eevee,M,200,3.47,2.15,7.92,0.91,11111.11,166.3,36,200,8
b5f53cf3-022e-4ced-8de8-604f30b5c511,Spewpa,M,200,1.99,1.49,4.0,0.72,23.41,126.1,27,200,1
06836513-4ab6-4363-80f5-87b496be359f,Murkrow,L,200,1.69,1.19,1.99,0.72,4.0,47.3,0,200,3
8a1c4dbc-158d-474f-9b2b-3f369ada6df6,Dragonair,L,200,9.99,3.18,17.68,0.73,495.0,145.1,77,200,1
5aff3cdd-5364-41b3-93d2-ca6082cd7a25,Switching Cups,L,200,1.55,1.0,1.99,0.72,4.95,63.9,1,200,4
7d4d8651-cb5a-4076-8b5f-706357fe45ce,Hisuian Sneasler,L,200,2.03,1.78,3.01,0.72,38.68,60.6,20,200,2
b14f985b-c7a1-443b-993c-cd1fa37e2ea1,Dark Wartortle,L,200,5.41,3.64,11.99,1.05,275.0,154.3,34,200,4
675e968b-aafb-4dc8-a063-6339440519d3,Bellsprout,L,200,2.25,1.75,3.16,0.99,11111.11,62.7,13,200,7
633e83e7-70db-4f12-89d8-02a222b37fed,Energy Recycler,L,114,5.99,4.99,8.0,2.99,58.62,50.3,2,114,1
5bf55071-93e1-415f-9bce-a33dc4cd571c,Growlithe,L,200,2.49,1.6,3.99,0.72,200.0,96.0,18,200,3
19a9256d-500b-4410-9f26-87e7f4048c54,Garbodor V,L,200,2.49,1.99,3.57,0.88,109.52,63.5,15,200,1
4c669996-ee53-4819-8651-d5097cf9392e,Rapidash,L,200,3.49,2.39,5.99,0.73,75.0,103.2,31,200,5
